,mean,min,max,std,count,perc_1,perc_5,perc_10,perc_25,perc_50,perc_75,perc_90,perc_95,perc_99
0,2.88671875,2.6226043701171875e-06,21.0,inf,68083.0,0.001171112060546875,0.0283355712890625,0.1630859375,0.79248046875,2.15625,4.328125,6.63671875,8.109375,10.890625
1,3.224609375,1.0728836059570312e-06,20.3125,inf,66825.0,0.0009655952453613281,0.03289794921875,0.1929931640625,0.86572265625,2.388671875,4.86328125,7.53515625,9.21875,12.0
2,2.5703125,-0.0,22.171875,inf,66129.0,0.00017404556274414062,0.00556182861328125,0.045501708984375,0.485595703125,1.7587890625,3.86328125,6.390625,7.9453125,10.8984375
3,2.69140625,1.0728836059570312e-06,22.25,inf,67325.0,0.0005016326904296875,0.020233154296875,0.132080078125,0.67626953125,1.9052734375,4.03515625,6.4296875,8.0390625,10.9140625
4,2.974609375,1.1920928955078125e-07,20.4375,inf,66866.0,0.0007872581481933594,0.0273284912109375,0.1551513671875,0.86767578125,2.28515625,4.44921875,6.79296875,8.2734375,11.1484375
5,2.853515625,3.933906555175781e-06,24.265625,inf,65988.0,0.0005984306335449219,0.0269775390625,0.1651611328125,0.77490234375,2.05078125,4.18359375,6.68359375,8.3046875,11.21875
6,2.59375,1.1920928955078125e-07,20.609375,inf,66064.0,0.0008349418640136719,0.031951904296875,0.138427734375,0.65625,1.8974609375,3.92578125,6.1328125,7.67578125,10.5859375
7,1.1572265625,-0.0,32.96875,inf,513957.0,1.8656253814697266e-05,8.320808410644531e-05,0.00020265579223632812,0.00107574462890625,0.04864501953125,1.623046875,3.474609375,4.7421875,9.7421875
8,2.78515625,2.5033950805664062e-06,20.5,inf,64194.0,0.0005192756652832031,0.020660400390625,0.1234130859375,0.69970703125,2.01953125,4.1953125,6.62109375,8.0546875,10.7890625
9,3.05859375,1.9073486328125e-06,21.53125,inf,69484.0,0.0006184577941894531,0.024688720703125,0.135986328125,0.74365234375,2.181640625,4.69140625,7.3125,8.9921875,11.8828125
10,2.947265625,4.5299530029296875e-06,21.28125,inf,70055.0,0.00033092498779296875,0.012298583984375,0.115478515625,0.67578125,2.06640625,4.3984375,7.0,8.828125,11.90625
11,3.09375,4.172325134277344e-06,22.3125,inf,71025.0,0.00021457672119140625,0.0122222900390625,0.131591796875,0.771484375,2.19921875,4.6171875,7.4296875,9.203125,12.25
12,2.771484375,2.86102294921875e-06,24.671875,inf,75056.0,0.0004420280456542969,0.00983428955078125,0.071044921875,0.513671875,1.82421875,4.1796875,6.859375,8.609375,12.5546875
13,3.455078125,4.291534423828125e-06,19.625,inf,71264.0,0.0015926361083984375,0.05157470703125,0.2548828125,1.0283203125,2.59765625,5.25,7.75,9.34375,12.421875
14,3.154296875,3.6954879760742188e-06,21.34375,inf,70729.0,0.0005030632019042969,0.02001953125,0.138916015625,0.7880859375,2.357421875,4.83984375,7.39453125,9.0,11.796875
15,3.1875,2.7418136596679688e-06,24.390625,inf,72669.0,0.0005598068237304688,0.02716064453125,0.16015625,0.82275390625,2.34375,4.85546875,7.4140625,9.078125,11.984375
16,3.146484375,7.152557373046875e-07,20.65625,inf,76386.0,0.00027561187744140625,0.018218994140625,0.154052734375,0.7734375,2.29296875,4.80078125,7.39453125,9.015625,11.9375
17,2.716796875,3.337860107421875e-06,21.328125,inf,77849.0,0.0004067420959472656,0.00748443603515625,0.0579833984375,0.485107421875,1.7578125,4.09375,6.86328125,8.671875,12.25
18,2.96875,2.86102294921875e-06,21.890625,inf,72049.0,0.0005178451538085938,0.028045654296875,0.15380859375,0.7548828125,2.19140625,4.4765625,6.921875,8.578125,11.65625
19,2.7421875,1.0728836059570312e-06,20.53125,inf,77058.0,0.00033473968505859375,0.0082244873046875,0.0626220703125,0.50927734375,1.78125,4.125,6.8203125,8.625,12.5
20,2.798828125,3.337860107421875e-06,19.9375,inf,70970.0,0.000179290771484375,0.0031890869140625,0.0557861328125,0.64013671875,1.9970703125,4.25,6.68359375,8.296875,11.375
21,2.732421875,5.960464477539062e-07,22.109375,inf,62989.0,0.0002956390380859375,0.01300811767578125,0.10357666015625,0.6494140625,1.9521484375,4.08984375,6.62109375,8.3046875,11.3828125
22,2.7578125,8.344650268554688e-07,20.5,inf,68109.0,0.00023877620697021484,0.01015472412109375,0.09771728515625,0.65283203125,1.9599609375,4.10546875,6.59375,8.3125,11.2265625
23,2.9375,2.7418136596679688e-06,21.671875,inf,76929.0,0.0003342628479003906,0.0101165771484375,0.0941162109375,0.62939453125,1.9765625,4.4140625,7.2109375,8.953125,12.671875
24,2.65234375,1.430511474609375e-06,21.515625,inf,77380.0,0.00038051605224609375,0.006595611572265625,0.047515869140625,0.44140625,1.6650390625,4.015625,6.734375,8.5,12.515625
25,3.068359375,1.1920928955078125e-07,22.5625,inf,69534.0,0.0004820823669433594,0.0144805908203125,0.1168212890625,0.77587890625,2.2890625,4.6328125,7.1953125,8.859375,11.921875
26,3.0546875,2.86102294921875e-06,20.5,inf,68298.0,0.0006589889526367188,0.027587890625,0.1761474609375,0.85302734375,2.279296875,4.546875,7.02734375,8.671875,11.5390625
27,3.001953125,1.1920928955078125e-07,21.140625,inf,71548.0,0.0005931854248046875,0.0129852294921875,0.09661865234375,0.65185546875,2.15234375,4.6171875,7.203125,8.84375,11.8359375
28,2.859375,3.5762786865234375e-07,21.375,inf,71316.0,0.0003762245178222656,0.00794219970703125,0.075927734375,0.63671875,2.083984375,4.33984375,6.8046875,8.3125,11.3828125
29,2.78125,-0.0,20.265625,inf,65111.0,0.0013284683227539062,0.03533935546875,0.1634521484375,0.7236328125,2.037109375,4.1796875,6.421875,7.95703125,10.8828125
30,3.412109375,9.5367431640625e-06,22.0,inf,67361.0,0.0013761520385742188,0.0826416015625,0.3017578125,1.119140625,2.76953125,5.1171875,7.39453125,8.8671875,11.5390625
31,3.837890625,6.198883056640625e-06,23.28125,inf,69524.0,0.00489044189453125,0.09521484375,0.37353515625,1.2861328125,3.103515625,5.640625,8.3671875,10.0859375,13.4921875
32,3.201171875,-0.0,27.65625,inf,66667.0,0.0007123947143554688,0.0231170654296875,0.164306640625,0.8818359375,2.423828125,4.83984375,7.30078125,8.9296875,11.7890625
33,2.900390625,9.5367431640625e-07,19.59375,inf,65279.0,0.0007534027099609375,0.0215911865234375,0.1336669921875,0.75390625,2.1171875,4.359375,6.8046875,8.328125,11.328125
34,3.53515625,5.0067901611328125e-06,21.578125,inf,69679.0,0.001224517822265625,0.01971435546875,0.143798828125,1.0478515625,2.810546875,5.3984375,7.953125,9.5,12.453125
35,2.75,2.9802322387695312e-06,21.203125,inf,73707.0,0.00015497207641601562,0.00556182861328125,0.065673828125,0.5791015625,1.853515625,4.15625,6.76171875,8.5,11.546875
36,2.9453125,2.0265579223632812e-06,22.0625,inf,77519.0,0.0002665519714355469,0.00994873046875,0.0748291015625,0.5458984375,1.90625,4.4921875,7.375,9.140625,12.984375
37,2.779296875,1.0728836059570312e-06,20.828125,inf,75679.0,0.00030612945556640625,0.006916046142578125,0.0615234375,0.546875,1.84765625,4.18359375,6.875,8.71875,12.4296875
38,2.98828125,4.649162292480469e-06,21.234375,inf,68885.0,0.000331878662109375,0.01369476318359375,0.108642578125,0.69482421875,2.142578125,4.5546875,7.17578125,8.828125,11.75
39,2.689453125,8.344650268554688e-07,19.65625,inf,73031.0,0.00015234947204589844,0.00698089599609375,0.06829833984375,0.5234375,1.78125,4.0703125,6.70703125,8.3828125,11.4453125
40,2.671875,2.2649765014648438e-06,21.40625,inf,82453.0,0.0003485679626464844,0.005611419677734375,0.04010009765625,0.427734375,1.6533203125,4.05859375,6.81640625,8.6328125,12.4609375
41,2.806640625,1.430511474609375e-06,23.328125,inf,67040.0,0.0001703500747680664,0.006023406982421875,0.078125,0.599609375,1.96484375,4.19921875,6.796875,8.6640625,11.578125
42,2.876953125,-0.0,21.8125,inf,72915.0,0.00024068355560302734,0.0087432861328125,0.0762939453125,0.61328125,2.005859375,4.359375,6.953125,8.765625,11.796875
43,2.939453125,3.933906555175781e-06,23.578125,inf,71193.0,0.00034046173095703125,0.0133819580078125,0.1221923828125,0.724609375,2.08984375,4.3671875,7.01171875,8.921875,11.90625
44,3.33203125,7.152557373046875e-07,21.90625,inf,73223.0,0.0006122589111328125,0.0242919921875,0.2191162109375,0.94580078125,2.498046875,5.0625,7.65625,9.359375,12.390625
45,2.75,3.5762786865234375e-07,20.84375,inf,71834.0,0.0002598762512207031,0.0159912109375,0.11456298828125,0.6396484375,1.9443359375,4.1328125,6.52734375,8.15625,10.984375
46,2.814453125,1.1920928955078125e-07,22.28125,inf,71769.0,0.0002522468566894531,0.01361083984375,0.11474609375,0.65625,1.96484375,4.265625,6.77734375,8.453125,11.6171875
47,2.90234375,9.5367431640625e-07,19.59375,inf,68168.0,0.0003418922424316406,0.01377105712890625,0.1175537109375,0.7177734375,2.123046875,4.34375,6.796875,8.5,11.515625
48,2.705078125,9.5367431640625e-07,20.65625,inf,67938.0,0.0002543926239013672,0.01221466064453125,0.100341796875,0.634765625,1.908203125,4.01171875,6.42578125,8.078125,11.390625
49,3.37890625,7.152557373046875e-07,20.90625,inf,73457.0,0.00043964385986328125,0.024871826171875,0.204345703125,0.9443359375,2.52734375,5.1328125,7.80859375,9.4375,12.296875
